shipment_id,origin_port,destination_port,carrier,departure_date,arrival_date,cost,status
101,PRINCE RUPERT,LONG BEACH,HAPAG-LLOYD,2025-07-27,2025-08-05,2118.44,IN_TRANSIT
103,SHANGHAI,PRINCE RUPERT,ZIM,2025-08-25,2025-09-12,2311.95,BOOKED
104,HAMBURG,NEW YORK,ONE,2025-07-04,2025-07-17,2138.83,NAN
105,SINGAPORE,LONG BEACH,MSC,2025-07-11,2025-07-31,2737.95,IN_TRANSIT
106,MONTREAL,BUSAN,HAPAG-LLOYD,2025-08-16,2025-09-17,4032.55,BOOKED
108,NEW YORK,VANCOUVER,COSCO,2025-08-10,2025-09-02,3239.38,DELAYED
109,VANCOUVER,HAMBURG,HAPAG-LLOYD,2025-05-28,2025-06-20,3443.32,BOOKED
111,MONTREAL,ROTTERDAM,ONE,2025-08-22,2025-09-05,2417.47,BOOKED
112,PRINCE RUPERT,BUSAN,COSCO,2025-06-15,2025-06-29,2298.5,DELAYED
113,LONG BEACH,MONTREAL,ONE,2025-07-29,2025-08-25,3991.68,IN_TRANSIT
114,SHANGHAI,SINGAPORE,HAPAG-LLOYD,2025-06-24,2025-07-03,1217.51,DELIVERED
115,ROTTERDAM,PRINCE RUPERT,MSC,2025-06-14,2025-07-11,3382.49,IN_TRANSIT
117,SHANGHAI,NEW YORK,ZIM,2025-08-01,2025-08-26,3663.29,DELAYED
119,VANCOUVER,NEW YORK,COSCO,2025-06-25,2025-07-20,3231.11,BOOKED
120,BUSAN,PRINCE RUPERT,MAERSK,2025-05-22,2025-06-04,2281.76,DELIVERED
121,MONTREAL,SINGAPORE,MSC,2025-07-02,2025-08-05,4325.2,IN_TRANSIT
123,SINGAPORE,BUSAN,HAPAG-LLOYD,2025-07-28,2025-08-03,1151.78,DELAYED
124,SHANGHAI,TOKYO,ONE,2025-06-24,2025-06-28,1111.45,IN_TRANSIT
125,ROTTERDAM,TOKYO,CMA CGM,2025-06-19,2025-07-25,3892.2,BOOKED
126,LONG BEACH,PRINCE RUPERT,MSC,2025-08-20,2025-08-28,1542.49,DELIVERED
127,HALIFAX,BUSAN,COSCO,2025-05-18,2025-06-19,3947.53,IN_TRANSIT
129,VANCOUVER,SINGAPORE,MSC,2025-06-15,2025-07-07,2924.96,DELAYED
130,HAMBURG,TOKYO,ZIM,2025-08-05,2025-09-12,3930.2,IN_TRANSIT
131,MONTREAL,SHANGHAI,CMA CGM,2025-05-24,2025-06-28,3986.29,BOOKED
132,BUSAN,HAMBURG,ONE,2025-07-16,2025-08-21,3799.39,DELIVERED
133,LONG BEACH,HALIFAX,COSCO,2025-05-25,2025-06-18,3502.98,IN_TRANSIT
134,NEW YORK,BUSAN,MAERSK,2025-06-23,2025-07-24,3602.83,BOOKED
136,TOKYO,HALIFAX,HAPAG-LLOYD,2025-05-23,2025-06-20,3593.75,IN_TRANSIT
138,ROTTERDAM,NEW YORK,ZIM,2025-07-02,2025-07-14,2339.26,DELIVERED
140,SHANGHAI,MONTREAL,MAERSK,2025-08-02,2025-09-04,4018.9,BOOKED
141,PRINCE RPERT,TOKYO,HAPAG-LLOYD,2025-06-25,2025-07-08,2296.22,DELAYED
142,ANTWERP,SHANGHAI,MAERSK,2025-07-11,2025-08-16,3685.1,IN_TRANSIT
143,LONG BEACH,ROTTERDAM,ONE,2025-07-13,2025-08-04,3034.4,BOOKED
145,HALIFAX,HAMBURG,CMA CGM,2025-08-18,2025-08-30,2244.33,IN_TRANSIT
147,ROTTERDAM,BUSAN,COSCO,2025-06-03,2025-07-08,3753.86,DELAYED
148,NEW YORK,ANTWERP,ZIM,2025-05-18,2025-05-30,2166.42,IN_TRANSIT
149,BUSAN,HALIFAX,HAPAG-LLOYD,2025-07-12,2025-08-14,3985.39,BOOKED
150,TOKYO,ROTTERDAM,MAERSK,2025-07-27,2025-08-31,3874.65,DELIVERED
152,NEW YORK,SHANGHAI,MSC,2025-06-02,2025-07-01,3578.89,BOOKED
153,MONTREAL,HAMBURG,ZIM,2025-06-29,2025-07-12,2462.64,DELAYED
156,PRINCE RUPERT,ANTWERP,ONE,2025-06-17,2025-07-12,3515.22,DELIVERED
157,ROTTERDAM,HALIFAX,CMA CGM,2025-06-23,2025-07-05,2215.39,IN_TRANSIT
158,ANTWERP,TOKYO,HAPAG-LLOYD,2025-08-11,2025-09-17,4021.6,BOOKED
159,BUSAN,SINGAPORE,MSC,2025-06-10,2025-06-16,1134.77,DELAYED
161,SHANGHAI,VANCOUVER,CMA CGM,2025-07-04,2025-07-21,2241.6,BOOKED
162,LONG BEACH,HAMBURG,COSCO,2025-06-05,2025-06-29,3438.27,DELIVERED
164,MONTREAL,VANCOUVER,HAPAG-LLOYD,2025-06-25,2025-07-22,3411.53,BOOKED
165,PRINCE RUPERT,ROTTERDAM,ONE,2025-06-07,2025-07-03,3364.57,DELAYED
167,VANCOUVER,ROTTERDAM,ZIM,2025-07-28,2025-08-21,3407.28,BOOKED
168,HALIFAX,MONTREAL,COSCO,2025-07-07,2025-07-11,1118.84,DELIVERED
169,LONG BEACH,BUSAN,HAPAG-LLOYD,2025-07-02,2025-07-17,2127.35,IN_TRANSIT
170,BUSAN,ROTTERDAM,MAERSK,2025-06-05,2025-07-11,3734.98,BOOKED
171,HAMBURG,LONG BEACH,ONE,2025-07-08,2025-08-01,3474.96,DELAYED
173,SINGAPORE,TOKYO,CMA CGM,2025-08-12,2025-08-22,1434.34,BOOKED
175,MONTREAL,LONG BEACH,COSCO,2025-07-13,2025-08-06,3799.3,IN_TRANSIT
176,ANTWERP,PRINCE RUPERT,HAPAG-LLOYD,2025-07-05,2025-07-30,3515.65,BOOKED
177,SHANGHAI,BUSAN,MAERSK,2025-07-05,2025-07-09,1093.89,DELAYED
179,PRINCE RUPERT,SINGAPORE,MSC,2025-08-03,2025-08-22,2890.3,BOOKED
180,BUSAN,MONTREAL,ZIM,2025-08-23,2025-09-24,4055.79,DELIVERED
182,HALIFAX,SINGAPORE,COSCO,2025-06-18,2025-07-21,4241.22,BOOKED
183,VANCOUVER,ANTWERP,MAERSK,2025-08-14,2025-09-05,3424.33,DELAYED
184,ROTTERDAM,SHANGHAI,ONE,2025-07-08,2025-08-15,3572.84,IN_TRANSIT
185,TOKYO,ANTWERP,MSC,2025-07-23,2025-08-27,4001.07,BOOKED
